name,node_count,window,sMAPE,μ,features
五节点7天窗口基线,5,7day,31.82,0.05,v1
2节点粒度融合（1天历史+清华）,2,1day,33.88,0.05,v1+清华聚类
5G单独训练,500,6hour,35.98,0.05,时序特征
五节点1天窗口基线,5,1day,36.18,0.05,v1
E4知识迁移加权（7天）,5,7day,37.93,0.05,v1
E2节点加权（7天）,5,7day,39.25,0.05,v1
E3粒度融合（7天）,5,7day,39.25,0.05,v1+清华聚类
E5可学习时段权重（7天）,5,7day,39.62,0.05,v1
41节点粒度融合（1天历史+清华）,41,1day,40.81,0.05,v1+清华聚类
4G单独训练,500,6hour,47.57,0.05,时序特征
双流模型（7天+清华）,2,7day,51.90,0.05,v1+清华聚类
2节点7天窗口基线,2,7day,55.42,0.05,v1
混合口径（7年，有泄漏）,42,7day,58.12,0.05,v1
2节点不加权基线（新归一化）,2,7day,60.45,0.01536,v1
两阶段训练,42,7day,60.54,0.05,v1
v1单节点最佳（节点8001）,1,7day,61.73,0.05,v1
贝叶斯优化最佳（单节点）,1,7day,62.64,0.05,v1
旧口径单独（4年）,42,7day,65.53,0.05,v1
Step2自适应早停（单节点）,1,7day,68.15,0.05,v1
Step1阈值优化（单节点）,1,7day,69.93,0.05,v1
新口径单独（3年）,42,7day,70.78,0.05,v1
7节点（加入8005/8008/8012等）,7,7day,102.16,0.07764,v1
3节点（加入8005）,3,7day,103.04,0.07925,v1
日聚合联邦1天窗口（2节点）,2,1day,28.45,0.05,日聚合v1
日聚合联邦1天窗口（41节点）,41,1day,39.69,0.05,日聚合v1
知识迁移加权（2节点）,2,1day,27.82,0.05,v1+清华+SHAP时段权重
原始微调（41节点平均）,41,7day,72.05,0.05,个性化微调
二次微调（41节点平均）,41,7day,71.01,0.05,个性化微调（lr=5e-5）
最佳模型选择（41节点平均）,41,7day,71.77,0.05,个性化微调（择优）
可学习时段测试（5节点，验证集sMAPE）,5,7day,84.34,0.05,可学习时段架构